PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
139,3,3,Pitcher_4,Right,2,Batter_7,Right,1,Stretch,4,Bottom,1,1,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,94.64832806,-5.578340841,-2.322148929,2262.135603,182.5805285,12:00,7.351358167,0.80902725,6.701086109,-11.18478724,18.95282393,0.855465638,1.299154135,-0.743772148,87.49850921,-7.675847553,-2.15971799,0.395117196,,,,,,,,,,,,-1.057848515,11.91119498,-0.655406179,50,6.975673981,5.541778875,-137.2819266,-13.74856633,-2.037675582,27.72793048,-9.23016687
140,3,4,Pitcher_4,Right,2,Batter_7,Right,1,Stretch,4,Bottom,1,2,1,Fastball,Undefined,InPlay,Undefined,FlyBall,Out,1,0,,94.26846683,-3.771928856,-1.534018792,2143.127983,209.3154162,1:00,7.409684908,0.781421978,6.287838872,-12.50306172,18.27872588,10.2802621,2.88595632,0.724297616,86.75111731,-6.118715478,0.408921172,0.399317586,101.6461823,38.59446532,-15.85823056,4073.305229,105.0251308,90.56723614,-32.7065097,363.0380216,123.6679943,-19.2950618,6.419231567,-6.016353534,10.97104192,-0.673713435,50,7.125892682,3.340785783,-137.0368271,-9.438005039,-11.5100813,28.56013788,-11.18499201
141,4,1,Pitcher_4,Right,2,Batter_13,Right,1,Stretch,4,Bottom,2,0,0,Fastball,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.02219181,-4.015680443,-1.473238591,2213.902054,191.0575429,12:15,7.339899194,0.878080759,6.57358159,-10.08532568,20.38600109,3.989487699,2.812098892,0.360116745,86.92964965,-5.913640708,-0.717349093,0.397298752,,,,,,,,,,,,-2.561699207,12.22890708,-0.778876432,50,7.059948749,3.396302837,-136.7439621,-9.907601124,-4.905506857,26.94899804,-8.756393822
142,4,2,Pitcher_4,Right,2,Batter_13,Right,1,Stretch,4,Bottom,2,0,1,ChangeUp,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,86.54658017,-4.140151323,-2.028851555,1427.501371,216.7929243,1:15,7.252199517,1.190755521,6.866144013,-21.5423814,14.17143996,10.62397615,1.675020861,0.726367906,80.09457127,-8.206882025,-0.0010608,0.430120042,,,,,,,,,,,,-6.449965702,8.97541915,-1.066063041,50,6.981105596,4.182331213,-125.8381117,-9.673132107,-10.41561932,23.84302198,-17.68024294
143,4,3,Pitcher_4,Right,2,Batter_13,Right,1,Stretch,4,Bottom,2,1,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,93.73158598,-3.892386356,-1.891479674,2205.794827,198.0550282,12:30,7.446330661,0.771582779,6.441008585,-9.062395186,22.08768286,7.209730998,3.107551244,0.133972138,85.64505649,-5.605696658,-0.521095689,0.401699312,,,,,,,,,,,,-4.495952303,13.24378746,-0.640886302,50,7.166020399,4.276461329,-136.1886723,-9.549207876,-8.439383936,30.05805048,-7.314041237
144,4,4,Pitcher_4,Right,2,Batter_13,Right,1,Stretch,4,Bottom,2,1,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,77.628914,-0.845788943,-1.400680783,2666.777246,29.24193955,7:00,7.350390816,1.043049352,6.406071689,-58.84703452,-12.70615038,-7.089150663,1.66860115,-0.335694189,70.94653829,-11.95978952,-2.760654136,0.488893738,,,,,,,,,,,,3.435247735,-6.728296414,-0.939776732,50,7.263232716,2.93932442,-112.9136479,-3.148591057,4.336539375,24.81362429,-40.66762008
145,4,5,Pitcher_4,Right,2,Batter_13,Right,1,Stretch,4,Bottom,2,2,2,Curveball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,76.71307696,-0.220556639,-0.382854123,2734.322195,34.1319064,7:15,7.358204253,1.043583915,6.300358329,-58.21057423,-11.33388587,-7.652949264,2.304140503,0.553147244,70.72090676,-11.16212109,-1.840332848,0.49277649,,,,,,,,,,,,4.081535555,-6.1506101,-1.011852293,50,7.314034866,0.94300898,-111.6885046,-1.926016607,5.106192464,21.91615978,-39.86875035
146,4,6,Pitcher_4,Right,2,Batter_13,Right,1,Stretch,4,Bottom,2,3,2,Fastball,Undefined,InPlay,Undefined,GroundBall,Out,1,0,,94.3556349,-3.850364593,-1.612708761,2239.583235,205.0731629,12:45,7.364654858,0.705727557,6.425029783,-11.39907845,19.11215148,8.955293736,2.86940881,0.469490513,86.9825045,-5.993763251,0.082247513,0.397558804,,,,,,,,,,,,-5.325512486,11.47123701,-0.595192643,50,7.085160872,3.583051732,-137.1914992,-9.592824783,-10.2325752,28.03211985,-10.13292189
147,1,1,Pitcher_6,Right,1,Batter_1,Right,2,Stretch,5,Top,0,0,0,Fastball,Undefined,HitByPitch,Undefined,Undefined,Undefined,0,0,,96.67321966,-1.45792952,-1.719821838,2320.162256,222.7212212,1:30,6.079157184,1.901174335,6.638365472,-14.25104207,14.40940868,13.33138913,3.556235242,1.937494483,89.24294986,-4.156922024,0.810745834,0.385312436,,,,,,,,,,,,-7.797753532,8.328721782,-1.79087213,50,5.974912088,3.821387821,-140.8874428,-4.024406856,-15.83424347,28.92556793,-15.26161244
148,2,1,Pitcher_6,Right,1,Batter_2,Right,2,Stretch,5,Top,0,0,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,96.3326315,-0.305817936,-2.826977834,2313.984048,219.4260035,1:15,5.985274191,2.28765318,6.530440559,-12.07884182,16.99155807,13.9924147,4.697867849,1.358718734,88.54084384,-2.595653834,-0.175036019,0.38805834,,,,,,,,,,,,-8.430334814,9.439399614,-2.097893363,50,5.958756472,6.49067467,-140.2864036,-1.126670515,-16.93538436,29.34569551,-13.21159165
